time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-01-31T00:57:22.470Z,19.249,-155.4025,31.23,3.12,ml,52,76,,0.14,hv,hv73316012,2023-02-01T00:59:05.327Z,"",earthquake,0.42,0.48,0.224302468897819,32,reviewed,hv,hv
2023-01-26T20:39:41.340Z,19.153,-155.372,30.08,3.1,ml,54,179,,0.13,hv,hv73313432,2023-02-09T18:37:38.040Z,"12 km ESE of P?hala, Hawaii",earthquake,0.43,0.57,0.157222504237573,38,reviewed,hv,hv
2023-01-25T17:17:43.240Z,19.0496666666667,-155.4255,37.08,3.21,ml,51,202,,0.13,hv,hv73312697,2023-02-07T22:00:13.913Z,"16 km E of Naalehu, Hawaii",earthquake,0.45,0.64,0.155844321592699,38,reviewed,hv,hv
2023-01-25T08:35:29.410Z,19.1471666666667,-155.369,30.36,3.59,ml,58,182,,0.12,hv,hv73312432,2023-01-27T15:48:27.868Z,"13 km ESE of P?hala, Hawaii",earthquake,0.64,0.61,0.163036064746707,40,reviewed,hv,hv
2023-01-24T09:58:51.620Z,19.0421666666667,-155.421666666667,36.77,3.43,ml,55,205,,0.12,hv,hv73311482,2023-01-27T22:11:59.789Z,"",earthquake,0.41,0.54,0.176495944465766,38,reviewed,hv,hv
2023-01-22T08:27:30.600Z,19.0571670532227,-155.422164916992,35.7700004577637,3.12,ml,47,199,,0.150000006,hv,hv73309987,2023-01-23T08:29:14.170Z,"16 km E of Naalehu, Hawaii",earthquake,0.54,1.00999999,2.92,27,automatic,hv,hv
2023-01-20T10:32:16.720Z,19.2095,-155.401833333333,31.94,3.03,ml,55,154,,0.15,hv,hv73308437,2023-01-20T22:57:50.136Z,"8 km E of P?hala, Hawaii",earthquake,0.45,0.52,0.162802104440765,40,reviewed,hv,hv
2023-01-15T01:28:40.000Z,19.2438333333333,-155.508,8.65,3.28,ml,41,57,,0.13,hv,hv73303932,2023-02-09T23:27:50.755Z,"Island of Hawaii, Hawaii",earthquake,0.22,0.35,0.146373322843644,39,reviewed,hv,hv
2023-01-13T06:11:25.550Z,19.205,-155.397333333333,30.75,3.43,ml,57,157,,0.14,hv,hv73302552,2023-01-26T08:58:38.068Z,"8 km E of P?hala, Hawaii",earthquake,0.48,0.47,0.170278930745225,41,reviewed,hv,hv
2023-01-09T21:23:19.200Z,19.173,-155.500333333333,31.42,3.11,ml,49,105,,0.11,hv,hv73300277,2023-01-24T23:00:40.875Z,"4 km SW of P?hala, Hawaii",earthquake,0.43,0.53,0.169849164927858,40,reviewed,hv,hv
2023-01-06T01:28:19.570Z,19.4173333333333,-155.279666666667,0.57,3.26,ml,17,123,,0.08,hv,hv73297477,2023-01-26T22:57:41.543Z,"5 km WSW of Volcano, Hawaii",earthquake,0.14,0.17,0.211531075641379,29,reviewed,hv,hv
2023-01-05T06:44:55.810Z,19.229,-155.393333333333,33.54,3.51,ml,53,145,,0.13,hv,hv73295577,2023-01-28T11:22:27.544Z,"9 km ENE of P?hala, Hawaii",earthquake,0.45,0.53,0.233307932794424,39,reviewed,hv,hv
2023-01-04T17:38:08.130Z,18.8396666666667,-154.901666666667,43.96,3,ml,45,282,,0.13,hv,hv73295042,2023-02-01T18:25:14.040Z,"69 km S of Leilani Estates, Hawaii",earthquake,0.97,1.75,0.169164097822601,23,reviewed,hv,hv
2023-01-04T07:03:36.770Z,19.18,-155.511166666667,35.26,3.28,ml,49,100,,0.12,hv,hv73294497,2023-01-30T08:15:06.866Z,"4 km SW of P?hala, Hawaii",earthquake,0.45,0.52,0.145276281439396,37,reviewed,hv,hv
2023-01-03T13:31:20.660Z,19.4895,-155.267166666667,18.8,4,ml,48,70,,0.12,hv,hv73293392,2023-01-19T00:09:35.569Z,"6 km NW of Volcano, Hawaii",earthquake,0.26,0.54,0.198371752900075,40,reviewed,hv,hv
2023-01-01T18:34:14.740Z,19.1401666666667,-156.197,38.49,3.77,ml,52,252,,0.11,hv,hv73290972,2023-01-27T17:52:46.317Z,"46 km W of Hawaiian Ocean View, Hawaii",earthquake,0.64,1.12,0.179969539975316,40,reviewed,hv,hv
2022-12-31T03:02:30.720Z,19.1935005187988,-155.487503051758,31.8400001525879,3.04,ml,45,77,,0.119999997,hv,hv73288327,2023-01-25T22:43:34.663Z,"1 km SW of P?hala, Hawaii",earthquake,0.46,0.670000017,3.57,30,automatic,hv,hv
2022-12-30T17:49:49.480Z,19.2036666870117,-155.411163330078,32.4099998474121,3.11,ml,42,154,,0.159999996,hv,hv73287947,2023-01-25T22:18:00.413Z,"7 km E of P?hala, Hawaii",earthquake,0.64,0.870000005,3.69,30,automatic,hv,hv
2022-12-27T14:33:23.390Z,19.3361666666667,-155.112,7.09,3.34,ml,42,128,,0.1,hv,hv73284662,2023-01-03T20:23:24.833Z,"14 km S of Fern Forest, Hawaii",earthquake,0.3,0.38,0.171507316780646,34,reviewed,hv,hv
2022-12-25T06:31:16.810Z,19.4076671600342,-155.292831420898,2.29999995231628,3.35,ml,39,39,,0.180000007,hv,hv73281902,2023-01-20T12:54:08.993Z,"7 km WSW of Volcano, Hawaii",earthquake,0.23,0.340000004,3.41,26,automatic,hv,hv
2022-12-21T13:10:21.860Z,19.1781666666667,-155.489166666667,30.79,3.27,ml,44,90,,0.1,hv,hv73277532,2023-01-23T15:35:18.116Z,"2 km NNW of Pahala, Hawaii",earthquake,0.58,0.72,0.158603134621289,24,reviewed,hv,hv
2022-12-21T06:22:11.520Z,19.156665802002,-155.489334106445,29.6700000762939,3.07,ml,44,132,,0.150000006,hv,hv73277372,2023-01-19T06:34:44.347Z,"5 km SSW of P?hala, Hawaii",earthquake,0.56,0.790000021,3.64,28,automatic,hv,hv
2022-12-18T16:44:40.600Z,18.9746666666667,-155.434,36.5,3.23,ml,54,225,,0.12,hv,hv73275217,2023-01-15T17:39:23.396Z,"18 km SE of Naalehu, Hawaii",earthquake,0.61,0.76,0.174177477844129,39,reviewed,hv,hv
2022-12-16T22:17:24.840Z,19.2668333333333,-155.414666666667,30.28,3.31,ml,55,65,,0.13,hv,hv73272337,2022-12-17T23:56:16.796Z,"9 km NE of P?hala, Hawaii",earthquake,0.41,0.53,0.194725276728472,38,reviewed,hv,hv
2022-12-16T16:47:17.000Z,20.5063333333333,-156.0515,31.2,3.96,ml,62,165,,0.12,hv,hv73271992,2023-01-07T20:18:56.246Z,"28 km SSW of Hana, Hawaii",earthquake,0.62,0.97,0.183744735290227,46,reviewed,hv,hv
2022-12-16T00:24:31.900Z,19.234,-155.389166666667,31.75,3.04,ml,55,144,,0.12,hv,hv73271032,2023-01-30T01:06:33.040Z,"10 km ENE of P?hala, Hawaii",earthquake,0.43,0.49,0.221827345452699,36,reviewed,hv,hv
2022-12-15T14:40:58.230Z,19.1985,-155.414833333333,33.53,3.08,ml,56,155,,0.13,hv,hv73270467,2023-01-09T22:39:47.340Z,"6 km E of P?hala, Hawaii",earthquake,0.44,0.52,0.171396767904532,36,reviewed,hv,hv
2022-12-15T11:10:47.770Z,19.2325,-155.393,32.82,3.02,ml,49,144,,0.14,hv,hv73270232,2023-01-06T16:38:37.040Z,"9 km ENE of P?hala, Hawaii",earthquake,0.47,0.57,0.0986475333233647,9,reviewed,hv,hv
2022-12-14T21:45:38.270Z,19.2083333333333,-155.3725,33.59,3.26,ml,56,160,,0.14,hv,hv73269642,2023-01-13T22:41:07.812Z,"9 km ENE of Pahala, Hawaii",earthquake,0.4,0.49,0.122148240862532,35,reviewed,hv,hv
2022-12-08T00:02:23.390Z,19.2058333333333,-155.386166666667,32.05,3.59,ml,56,159,,0.14,hv,hv73263432,2023-02-11T23:03:15.040Z,"Island of Hawaii, Hawaii",earthquake,0.42,0.5,0.147586086791197,38,reviewed,hv,hv
2022-12-07T18:21:52.460Z,19.4171666666667,-155.277666666667,0.1,3.64,md,29,39,,0.16,hv,hv73263142,2023-02-11T23:03:14.040Z,"5 km WSW of Volcano, Hawaii",earthquake,0.2,0.24,0.156685668782551,4,reviewed,hv,hv
2022-12-06T09:19:08.400Z,19.4605,-155.588833333333,-2.01,3.48,ml,52,39,,0.22,hv,hv73261607,2023-02-11T23:03:11.040Z,"28 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.23,0.19,0.191960149242325,36,reviewed,hv,hv
2022-12-03T19:32:58.880Z,19.4088333333333,-155.238833333333,2.34,3.09,ml,43,45,,0.09,hv,hv73255947,2023-02-11T23:03:04.040Z,"3 km S of Volcano, Hawaii",earthquake,0.17,0.2,0.257575504776767,24,reviewed,hv,hv
2022-12-01T08:02:30.420Z,19.1763333333333,-155.497166666667,35.56,3.73,ml,55,98,,0.11,hv,hv73248877,2023-02-05T23:25:44.040Z,"Island of Hawaii, Hawaii",earthquake,0.4,0.48,0.168266852076329,38,reviewed,hv,hv
2022-11-30T00:07:41.210Z,19.4815,-155.4485,-1.89,3.09,md,47,62,,0.15,hv,hv73245857,2023-02-05T23:25:22.040Z,"Island of Hawaii, Hawaii",earthquake,0.17,0.13,0.231267115945918,13,reviewed,hv,hv
2022-11-29T13:26:59.100Z,19.2018333333333,-155.39,31.87,4,ml,53,159,,0.14,hv,hv73244837,2023-02-05T23:25:09.040Z,"9 km E of P?hala, Hawaii",earthquake,0.41,0.51,0.176355836779171,37,reviewed,hv,hv
2022-11-29T06:59:21.030Z,19.4793333333333,-155.434333333333,-0.94,3.47,ml,52,59,,0.18,hv,hv73244027,2023-02-05T23:25:02.040Z,"21 km W of Volcano, Hawaii",earthquake,0.2,0.2,0.199131043804391,34,reviewed,hv,hv
2022-11-28T22:43:51.950Z,19.511,-155.564833333333,-0.55,3.01,ml,19,63,,0.13,hv,hv73243022,2023-02-05T23:24:52.040Z,"32 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.68,1.1,0.160931594411237,3,reviewed,hv,hv
2022-11-28T11:13:11.500Z,19.3371658325195,-155.190673828125,4.44000005722046,3.27,ml,19,79,,0.0900000036,hv,hv73241247,2022-11-28T11:18:41.680Z,"12 km SSE of Volcano, Hawaii",earthquake,0.47,2.30999994,3.81,10,automatic,hv,hv
2022-11-28T09:56:32.000Z,19.4326667785645,-155.620330810547,-1,3.3,ml,37,119,,0.25,hv,hv73241062,2023-02-05T23:24:35.040Z,"25 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.5,0.629999995,3.63,17,automatic,hv,hv
2022-11-28T09:56:31.820Z,19.4293333333333,-155.623333333333,-0.32,3.24,ml,17,74,,0.12,hv,hv73241057,2022-11-28T10:38:13.100Z,"25 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.31,0.42,0.122563930139912,7,reviewed,hv,hv
2022-11-28T09:51:35.830Z,19.4881666666667,-155.572,-3.05,3.48,ml,11,94,,0.14,hv,hv73241042,2023-02-05T23:24:35.040Z,"30 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.37,0.65,0.154237715709499,34,reviewed,hv,hv
2022-11-28T09:32:23.130Z,19.4311666666667,-155.616,-1.99,3.23,md,40,65,,0.21,hv,hv73240992,2023-02-05T23:24:34.040Z,"26 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.21,0.25,0.127440689907236,9,reviewed,hv,hv
2022-11-28T09:12:21.290Z,19.4368333333333,-155.608333333333,-2.12,3.52,ml,46,44,,0.24,hv,hv73240947,2023-02-05T23:24:33.040Z,"27 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.26,0.35,0.115876758444026,6,reviewed,hv,hv
2022-11-28T09:10:24.530Z,19.4713333333333,-155.593166666667,-2.12,3.69,ml,43,42,,0.21,hv,hv73240937,2023-02-05T23:24:33.040Z,"28 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.23,0.15,0.31068630202526,8,reviewed,hv,hv
2022-11-28T09:09:08.700Z,19.4728333333333,-155.591166666667,-1.94,3.71,ml,42,55,,0.2,hv,hv73240932,2023-02-05T23:24:33.040Z,"28 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.23,0.14,0.182954775276824,7,reviewed,hv,hv
2022-11-28T09:04:26.160Z,19.4528333333333,-155.606833333333,-1.81,3.21,ml,45,44,,0.22,hv,hv73240912,2023-02-05T23:24:33.040Z,"27 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.25,0.23,0.102205896447517,7,reviewed,hv,hv
2022-11-28T09:04:26.130Z,19.4561666666667,-155.604166666667,-1.16,3.15,ml,18,88,,0.19,hv,hv73240917,2022-11-28T10:03:38.272Z,"Island of Hawaii, Hawaii",earthquake,0.3,0.2,0.11657097711404,7,reviewed,hv,hv
2022-11-28T08:59:21.000Z,19.4703333333333,-155.617166666667,-3.74,3.72,ml,38,49,,0.25,hv,hv73240902,2023-02-05T23:24:32.040Z,"26 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.26,0.19,0.0512146327851914,6,reviewed,hv,hv
2022-11-28T08:56:25.740Z,19.4708333333333,-155.601,-1.21,4.2,ml,19,72,,0.13,hv,hv73240897,2023-02-05T23:24:32.040Z,"27 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.31,0.22,0.130256645681202,26,reviewed,hv,hv
2022-11-28T08:48:13.540Z,19.467,-155.599666666667,-1.17,3.2,md,19,88,,0.22,hv,hv73240867,2022-11-28T09:25:20.595Z,"27 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.42,0.3,0.0490712009374219,7,reviewed,hv,hv
2022-11-21T03:07:07.220Z,19.1538333333333,-155.375166666667,29.92,3.6,ml,56,178,,0.14,hv,hv73230022,2023-01-30T06:00:31.040Z,"9 km E of Pahala, Hawaii",earthquake,0.46,0.48,0.140806166346751,39,reviewed,hv,hv
2022-11-18T01:07:45.050Z,19.1511666666667,-155.507166666667,32.54,3.54,ml,56,138,,0.13,hv,hv73226277,2023-01-28T19:58:24.040Z,"6 km SSW of P?hala, Hawaii",earthquake,0.44,0.55,0.180077204117746,40,reviewed,hv,hv
2022-11-17T17:22:07.690Z,19.4213333333333,-155.617,-0.1,3.01,ml,43,79,,0.2,hv,hv73225752,2023-01-28T19:58:23.040Z,"26 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.25,0.47,0.179636429100107,36,reviewed,hv,hv
2022-11-17T04:56:34.460Z,19.157,-155.508666666667,31.81,3.86,ml,55,129,,0.12,hv,hv73224992,2023-01-28T19:58:20.040Z,"5 km SSW of P?hala, Hawaii",earthquake,0.44,0.57,0.201980587251636,41,reviewed,hv,hv
2022-11-13T01:10:00.110Z,19.4968333333333,-155.724166666667,4.89,3.18,ml,47,57,,0.2,hv,hv73219157,2023-01-28T19:58:10.040Z,"15 km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.3,0.37,0.189479184177137,37,reviewed,hv,hv
2022-11-12T20:44:42.640Z,19.0103333333333,-155.4115,35.77,3.67,ml,54,215,,0.13,hv,hv73218947,2023-01-28T19:58:10.040Z,"18 km ESE of Naalehu, Hawaii",earthquake,0.47,0.7,0.167038833238643,37,reviewed,hv,hv
2022-11-11T20:29:38.560Z,19.2068333333333,-155.389333333333,31.8,3.59,md,51,158,,0.15,hv,hv73217217,2023-01-21T19:27:23.040Z,"9 km E of P?hala, Hawaii",earthquake,0.55,0.63,0.0654790049969334,19,reviewed,hv,hv
2022-11-10T04:21:20.560Z,19.4893333333333,-155.658333333333,2.05,3.58,ml,28,54,,0.12,hv,hv73214847,2023-01-21T19:27:17.040Z,"Island of Hawaii, Hawaii",earthquake,0.27,0.85,0.191327676992976,15,reviewed,hv,hv
2022-11-04T07:43:21.420Z,19.5023333333333,-155.662,3.74,3.74,ml,54,47,,0.13,hv,hv73207067,2023-01-12T23:11:25.040Z,"21 km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.28,0.4,0.161668146340322,35,reviewed,hv,hv
2022-11-03T06:03:48.630Z,19.3328333333333,-155.128666666667,6.52,3.31,ml,48,123,,0.1,hv,hv73205617,2023-01-12T23:11:07.040Z,"14 km S of Fern Forest, Hawaii",earthquake,0.32,0.42,0.189254494684453,35,reviewed,hv,hv
2022-11-02T07:13:57.010Z,19.1985,-155.3855,36.71,3.16,ml,52,161,,0.12,hv,hv73204447,2023-01-12T23:11:02.040Z,"9 km E of P?hala, Hawaii",earthquake,0.47,0.46,0.116874707727034,34,reviewed,hv,hv
2022-11-01T11:17:27.340Z,19.9676666666667,-155.64,11.32,3.91,ml,52,149,,0.12,hv,hv73203372,2023-01-12T23:10:54.040Z,"7 km SSE of Waimea, Hawaii",earthquake,0.41,0.33,0.165530409687667,39,reviewed,hv,hv
2022-10-31T13:38:15.540Z,19.198,-155.389666666667,32.57,3.47,ml,56,161,,0.14,hv,hv73202072,2023-01-12T23:10:47.040Z,"8 km NE of Pahala, Hawaii",earthquake,0.43,0.5,0.174324729087052,36,reviewed,hv,hv
2022-10-27T22:19:06.030Z,19.4271666666667,-155.253333333333,20.34,3.01,ml,52,58,,0.13,hv,hv73197522,2023-01-03T15:23:24.040Z,"2 km SW of Volcano, Hawaii",earthquake,0.28,0.38,0.190469262180056,27,reviewed,hv,hv
2022-10-24T08:44:02.810Z,19.197,-155.384666666667,31.09,3.33,ml,53,163,,0.13,hv,hv73192912,2023-01-03T15:23:29.040Z,"9 km E of P?hala, Hawaii",earthquake,0.52,0.5,0.197436212685942,34,reviewed,hv,hv
2022-10-21T23:40:05.770Z,19.1306667327881,-155.490005493164,13.1099996566772,3.15,ml,42,170,,0.180000007,hv,hv73189922,2022-12-31T23:03:17.040Z,"8 km S of P?hala, Hawaii",earthquake,0.64,0.360000014,3.47,29,automatic,hv,hv
2022-10-21T23:39:23.830Z,19.1858329772949,-155.485504150391,31.9200000762939,3.08,ml,15,154,,0.100000001,hv,hv73189917,2022-10-21T23:44:53.520Z,"2 km SSW of P?hala, Hawaii",earthquake,0.92,1.32000005,3.13,29,automatic,hv,hv
2022-10-17T05:36:24.310Z,19.4291666666667,-155.6225,0.46,3.11,ml,40,107,,0.12,hv,hv73182627,2022-12-31T23:03:25.040Z,"25 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.26,0.46,0.152616497138572,35,reviewed,hv,hv
2022-10-15T13:05:48.540Z,19.1200008392334,-155.483337402344,13.0200004577637,3.29,ml,43,169,,0.209999993,hv,hv73180242,2022-12-31T23:03:30.040Z,"9 km S of P?hala, Hawaii",earthquake,0.58,0.370000005,3.43,30,automatic,hv,hv
2022-10-15T01:05:50.630Z,19.1193333333333,-155.479833333333,12.93,3.62,md,42,169,,0.22,hv,hv73179392,2022-12-31T23:03:32.040Z,"9 km S of P?hala, Hawaii",earthquake,0.52,0.34,0.157652493195349,16,reviewed,hv,hv
2022-10-14T20:12:56.220Z,19.1456666666667,-155.486333333333,10.59,3.89,ml,46,160,,0.19,hv,hv73178907,2022-12-17T22:54:13.040Z,"6 km S of P?hala, Hawaii",earthquake,0.4,0.38,0.206994213050074,38,reviewed,hv,hv
2022-10-14T19:16:44.900Z,19.1228333333333,-155.504166666667,11.18,4.01,ml,44,228,,0.13,hv,hv73178797,2022-12-17T22:54:12.040Z,"9 km SSW of P?hala, Hawaii",earthquake,0.55,0.36,0.184337714770311,38,reviewed,hv,hv
2022-10-14T19:07:29.020Z,19.14,-155.494,8.99,5.02,ml,51,159,,0.15,hv,hv72000488,2022-12-17T22:54:12.040Z,"7 km SSW of P?hala, Hawaii",earthquake,0.35,0.4,0.0801454647050575,23,reviewed,hv,hv
2022-10-14T19:07:05.080Z,19.1285,-155.482666666667,11.37,4.6,ml,56,166,,0.18,hv,hv73178772,2022-12-17T22:54:12.040Z,"8 km S of P?hala, Hawaii",earthquake,0.58,0.36,0.198033415158494,43,reviewed,hv,hv
2022-10-09T22:53:33.030Z,19.4276676177979,-155.263336181641,2.69000005722046,3.07999992,md,12,122,,0.159999996,hv,hv73172822,2022-10-14T20:05:48.763Z,"",earthquake,0.42,0.50999999,1.78999996,6,automatic,hv,hv
2022-10-05T08:38:12.130Z,19.2671666666667,-155.412833333333,32.34,3.42,ml,52,68,,0.12,hv,hv73167597,2022-12-10T22:53:16.040Z,"9 km NE of Pahala, Hawaii",earthquake,0.46,0.51,0.193748992876025,35,reviewed,hv,hv
2022-10-03T06:33:16.220Z,19.4641666666667,-155.6445,3.68,3,ml,52,56,,0.14,hv,hv73165142,2022-12-10T22:52:54.040Z,"23 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.26,0.4,0.204307780306209,34,reviewed,hv,hv
2022-10-01T10:36:26.860Z,19.1845,-155.460166666667,32.13,3.09,ml,55,112,,0.1,hv,hv73162437,2022-12-10T22:52:30.040Z,"2 km SE of P?hala, Hawaii",earthquake,0.44,0.46,0.176261330078745,37,reviewed,hv,hv
2022-10-01T07:01:47.030Z,19.478,-155.59,-0.69,3.47,md,46,52,,0.15,hv,hv73162122,2022-12-10T22:52:29.040Z,"Island of Hawaii, Hawaii",earthquake,0.22,0.19,0.0728792818556352,11,reviewed,hv,hv
2022-09-30T02:27:33.910Z,19.4675,-155.648833333333,2.62,3.11,ml,22,73,,0.14,hv,hv73159637,2022-12-03T22:02:43.040Z,"22 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.32,0.79,0.246151533990507,35,reviewed,hv,hv
2022-09-29T14:12:09.930Z,19.194,-155.491666666667,32.57,3.22,ml,51,74,,0.11,hv,hv73158807,2022-12-03T22:02:40.040Z,"1 km SW of P?hala, Hawaii",earthquake,0.44,0.53,0.183471613749854,37,reviewed,hv,hv
2022-09-27T22:43:58.210Z,19.2428333333333,-155.3965,32.18,4.45,ml,48,110,,0.13,hv,hv73156112,2022-12-03T22:02:31.040Z,"9 km ENE of P?hala, Hawaii",earthquake,0.5,0.61,0.141272064982742,37,reviewed,hv,hv
2022-09-26T01:56:18.339Z,19.5152,-157.2341,15.381,3,ml,36,233,1.156,0.52,us,us7000ib0v,2022-12-03T22:03:24.040Z,"Hawaiian Islands region",earthquake,5.82,7.562,0.051,50,reviewed,us,us
2022-09-25T23:08:05.330Z,19.177,-155.500666666667,34.93,3.03,ml,49,99,,0.11,hv,hv73153292,2022-12-03T22:03:24.040Z,"",earthquake,0.47,0.51,0.205389428130921,37,reviewed,hv,hv
2022-09-24T06:43:52.410Z,19.2488333333333,-155.3935,31.04,3.49,ml,55,118,,0.13,hv,hv73150752,2022-12-03T22:03:19.040Z,"10 km ENE of P?hala, Hawaii",earthquake,0.51,0.54,0.147058539199213,36,reviewed,hv,hv
2022-09-21T04:25:13.430Z,19.2368333333333,-155.516,7.69,3.1,ml,47,65,,0.24,hv,hv73146412,2022-11-26T20:57:48.040Z,"Island of Hawaii, Hawaii",earthquake,0.34,0.45,0.141611700808482,34,reviewed,hv,hv
2022-09-21T04:02:00.720Z,19.2736666666667,-155.411,31.98,3.36,ml,49,73,,0.12,hv,hv73146372,2022-11-26T20:57:48.040Z,"10 km NE of P?hala, Hawaii",earthquake,0.47,0.55,0.191939873282681,38,reviewed,hv,hv
2022-09-20T15:20:23.600Z,19.7886666666667,-156.0665,43.17,3.37,ml,51,191,,0.14,hv,hv73145307,2022-11-26T20:57:46.040Z,"11 km NW of Kalaoa, Hawaii",earthquake,0.6,0.5,0.184191582929589,27,reviewed,hv,hv
2022-09-17T15:19:31.470Z,19.3166666666667,-155.218333333333,5.05,3.18,ml,47,81,,0.13,hv,hv73142522,2022-11-26T20:57:34.040Z,"Island of Hawaii, Hawaii",earthquake,0.26,0.62,0.179123957375448,37,reviewed,hv,hv
2022-09-17T11:39:21.610Z,19.2988333333333,-155.212666666667,7.06,3.16,ml,46,114,,0.11,hv,hv73142362,2022-11-26T20:57:33.040Z,"16 km S of Volcano, Hawaii",earthquake,0.28,0.41,0.178511491856742,32,reviewed,hv,hv
2022-09-16T16:19:55.270Z,20.4106666666667,-156.865166666667,14.16,3.76,ml,56,170,,0.19,hv,hv73141587,2022-11-19T23:03:30.040Z,"46 km S of Lanai City, Hawaii",earthquake,0.32,0.83,0.164676574962427,29,reviewed,hv,hv
2022-09-14T14:20:01.400Z,19.225,-155.381833333333,31.94,3.2,ml,47,153,,0.12,hv,hv73139767,2022-11-19T23:03:11.040Z,"Island of Hawaii, Hawaii",earthquake,0.5,0.43,0.170959979225057,38,reviewed,hv,hv
2022-09-14T10:49:41.470Z,18.8773333333333,-155.227166666667,10.2,3.17,ml,50,258,,0.14,hv,hv73139602,2022-11-19T23:03:10.040Z,"42 km ESE of Naalehu, Hawaii",earthquake,0.47,0.28,0.174068358678091,34,reviewed,hv,hv
